wgi_glacier_id, glacier_name, lat, lon, total_area, mean_elev, snow_line_date 
AQ6C20106011, ,-62.545,-59.646,1.694,183, 
AQ6C20106012, ,-62.542,-59.687,6.252,238, 
AQ6C20106013, ,-62.54,-59.737,5.239,209, 
AQ6C20106014, ,-62.513,-59.782,16.241,195, 
AQ6C20106015, ,-62.496,-59.874,11.524,192, 
AQ6C20106016, ,-62.48,-59.932,15.115,149, 
AQ6C20107001, ,-62.628,-60.929,19.885,161, 
AQ6C20107002, ,-62.591,-60.816,78.451,183, 
AQ6C20107003, ,-62.502,-60.749,7.685,148, 
AQ6C20107004, ,-62.592,-60.581,94.379,192, 
AQ6C20107005, ,-62.553,-60.241,81.801,223, 
AQ6C20107006, ,-62.479,-60.14,2.103,90, 
AQ6C20107007, ,-62.477,-60.105,3.693,72, 
AQ6C20107008, ,-62.513,-60.084,21.602,163, 
AQ6C20107009, Kaliakra Gl,-62.585,-60.179,68.037,295, 
AQ6C20107010, Huron Gl,-62.642,-60.088,58.18,460, 
AQ6C20107043, Perunika Gl,-62.613,-60.282,36.644,333, 
AQ6C20107044, ,-62.614,-60.447,9.146,190, 
AQ6C20107045, ,-62.622,-60.527,12.508,186, 
AQ6C20107046, ,-62.636,-60.578,3.215,138, 
AQ6C20107047, ,-62.607,-60.706,51.929,193, 
AQ6C20107048, ,-62.653,-60.837,14.522,200, 
AQ6C20107049, Rotch Ice Dome,-62.649,-60.898,15.6,178, 
AQ6C20109001, ,-62.732,-61.301,8.95,125, 
AQ6C20109002, ,-62.781,-61.334,46.513,157, 
AQ6C20109003, ,-62.794,-61.461,32.607,144, 
AQ6C20109004, ,-62.758,-61.387,29.551,181, 
AQ6C20111001, ,-62.887,-62.33,2.396,659, 
AQ6C20111002, ,-62.905,-62.347,3.679,795, 
AQ6C20111003, ,-62.924,-62.378,3.964,1332, 
AQ6C20111004, ,-62.937,-62.397,3.448,1240, 
AQ6C20111005, ,-62.947,-62.41,2.43,1375, 
AQ6C20111006, ,-62.959,-62.442,7.455,1399, 
AQ6C20111007, ,-62.981,-62.475,5.553,1169, 
AQ6C20111008, ,-62.992,-62.496,5.98,1382, 
AQ6C20111010, ,-63.014,-62.525,3.15,1211, 
AQ6C20111011, ,-63.028,-62.548,3.165,1028, 
AQ6C20111012, ,-63.051,-62.602,9.813,882, 
AQ6C20111015, ,-63.05,-62.629,3.261,1104, 
AQ6C20111016, ,-63.032,-62.602,6.6,710, 
AQ6C20111017, ,-63.008,-62.571,9.035,1022, 
AQ6C20111018, ,-62.976,-62.527,13.223,1289, 
AQ6C20111019, ,-62.954,-62.487,5.893,1194, 
AQ6C20111020, ,-62.94,-62.455,9.639,1169, 
AQ6C20111021, ,-62.921,-62.457,2.557,990, 
AQ6C20111022, ,-62.924,-62.42,6.765,1324, 
AQ6C20111023, ,-62.907,-62.407,3.785,1083, 
AQ6C20111024, ,-62.901,-62.39,2.845,931, 
AQ6C20111025, ,-62.894,-62.366,2.542,914, 
AQ6C20111026, ,-62.882,-62.347,1.944,793, 
AQ6C20202002, ,-60.653,-45.02,1.174,259, 
AQ6C20202009, ,-60.683,-45.051,2.353,145, 
AQ6C20204201, ,-60.596,-46.043,0.384,150, 
BT5O205C0035, ,28.009,89.603,0.055,5153, 
BT5O205D0148, ,27.898,90.222,0.107,5254, 
BT5O207AA017, ,27.828,90.323,0.245,5100, 
BT5O207AA018, ,27.825,90.32,0.187,5205, 
BT5O207AA019, ,27.82,90.32,0.27,5205, 
BT5O207AA020, ,27.814,90.318,0.279,5130, 
BT5O207AA021, ,27.814,90.323,0.211,5150, 
BT5O207AA022, ,27.823,90.327,0.854,5170, 
BT5O207AA025, ,27.827,90.371,0.343,5260, 
BT5O207AA073, ,27.992,90.371,0.041,5540, 
BT5O207AA089, ,27.93,90.393,0.045,5400, 
CA2S011E0130, ,77.22,-79.46,0.23,615,19590708
CA2S011E0970, ,77.193,-80.127,0.45,490,19590708
CA2S011E1080, ,77.225,-80.568,0.42,730,19590812
CA2S011F0450, ,77.128,-79.168,0.19,570,19590708
CA2S017H0130, ,78.755,-75.943,0.43,1102,19590707
CA2S017K0310, ,77.967,-77.753,6.64,333,19590715
CL1N30100007, Los Cuartitos 01,-29.667,-70.017,0.25,4774, 
CL1N40100002, Marancel 02,-28.4,-69.667,4.36,5506, 
CL1N50000002, Tres Cruces 01,-27.1,-68.75,0.11,6244, 
CL1N50000004, Ojos del Salado 02,-27.083,-68.583,0.03,6768, 
CL1N50000005, El Muerto 01,-27.067,-68.5,0.03,6376, 
CL1N50000008, Incahuasi 03,-27.033,-68.35,0.03,6547, 
CL1N50000019, Sierra Nevada 10,-26.483,-68.583,0.55,5819, 
CL1N50000023, 5463 01,-26.467,-68.617,0.98,5356, 
CL1N50600001, Colorados 01,-26.167,-68.367,3.7,5759, 
CL1N50700001, Aguas Blancas 01,-25.7,-68.467,0.53,5708, 
CL1N70000001, Salin 01,-24.317,-68.067,0.63,5603, 
CL1N70300001, Poquis 01,-23.017,-67.033,0.85,5628, 
CL1N80000001, Tocorpuri 01,-22.433,-67.883,2.35,5565, 
CL1N80000002, Tocorpuri 02,-22.417,-67.9,0.5,5614, 
CL1N80000005, Inacaliri 01,-21.967,-68.067,0.5,5435, 
CL1N80000006, San Pedro 01,-21.883,-68.383,8.1,5498, 
CL1N80000007, San Pablo 01,-21.867,-68.333,10.6,5546, 
CL1N82000001, Aucanquilcha 01,-21.217,-68.467,3.18,6038, 
CL1N83000002, Paroma 01,-20.933,-68.417,0.93,5314, 
CL1N83000003, Olca 03,-20.933,-68.467,0.06,5202, 
CL1N83000005, Olca 01,-20.933,-68.483,0.05,5275, 
CL1N83000006, Paroma 02,-20.75,-68.417,0.8,5689, 
CL1O70100001, Toroni Sillajguay 01,-19.75,-68.7,13.8,5641, 
CL1O70300001, Capurata 01,-18.417,-69.05,6.23,5449, 
CL1O70300002, Acotango 01,-18.383,-69.05,7.83,5576, 
CL1O70300003, Guallatire 01,-18.417,-69.083,9.38,5632, 
CL1O70400001, Pomerape 01,-18.117,-69.117,10.88,5766, 
CL1O70400002, Parinacota 01,-18.15,-69.133,13.13,5796, 
CN5K441M0120, ,32.963,92.335,1.17,5700, 
CN5K444B0057, ,33.494,91.376,1.71,5600, 
CN5K451F0074, ,34.036,90.776,4.53,5660, 
CN5K451K0001, ,34.757,91.268,1.55,5540, 
CN5K451K0002, ,34.768,91.242,4.38,5560, 
CN5K616G0003, ,30.599,102.34,0.15,5240, 
CN5N223B0023, ,28.839,98.077,12.66,5500, 
CN5N223C0001, ,28.903,98.044,0.73,5460, 
CN5N223C0002, ,28.862,98.052,2.71,5400, 
CN5N224B0049, ,29.82,96.933,0.4,5560, 
CN5N231D0086, ,31.32,93.622,0.14,5560, 
CN5N232A0058, ,31.36,93.392,0.16,5600, 
CN5N261A0018, ,28.331,98.736,0.23,5100, 
CN5O185D0007, ,28.507,85.363,2.56,5241, 
CN5O185D0076, ,28.406,85.51,1.55,5370, 
CN5O192BA106, ,28.071,87.167,1.25,5505, 
CN5O192BA121, ,28.057,87.021,0.83,6143, 
CN5O192CB016, ,28.207,86.652,1.37,6171, 
CN5O192CE007, ,28.402,85.778,0.42,6278, 
CN5O251B0021, ,28.367,90.028,2.06,5880,19800000
CN5O251B0029, ,28.335,90.028,0.47,5880, 
CN5Q153H0003, ,35.148,78.059,2.35,5636, 
CN5Q33700096, Kameite,31.054,79.567,7.88,6120,19800000
CN5X042D0047,47,44.65,80.62,0.52,3720, 
CN5X043L0021,21,43.85,84.03,0.6,3380, 
CN5X046E0053,53,42.5,81.78,0.35,3960, 
CN5X046L0032,32,42.38,80.6,4.57,3900, 
CN5Y425L0002,2,39.02,98.9,2.81,4680, 
CN5Y425O0002,2,38.95,98.98,0.18,4680, 
CN5Y446F0001,1,38.7,97.3,14.81,4960,19660000
CN5Y447D0001,1,38.87,97.17,3.3,4800, 
CN5Y533G0002, ,35.764,93.515,8.68,5320,19710000
CN5Y542F0049, ,35.897,91.379,1.63,5460, 
CN5Y542F0050, ,35.877,91.36,3.96,5520, 
CN5Y542G0018, ,35.832,90.618,48.57,5600,19700000
CN5Y553A0001, ,37.747,89.304,3.71,5320, 
CN5Y563N0001,1,38.47,96.5,3.54,4928, 
CN5Y564C0001,1,38.18,96.48,10.2,4980, 
CN5Y564D0003,3,38.22,96.38,0.28,5120, 
CN5Y564E0010,10,38.22,96.25,6.14,5040, 
CN5Y564F0003,3,38.23,96.22,0.35,5080, 
CN5Y564F0004,4,38.22,96.2,2.12,5040, 
CN5Y564F0013,13,38.25,96.17,4.84,5100, 
CN5Y564F0022,22,38.25,96.13,1.74,5040, 
CN5Y564H0004,4,38.25,96.08,4.32,5080, 
CN5Y564K0001,1,38.45,95.82,4.5,4920,19660000
CN5Y581F0030,30,38.28,95.85,4.75,5040,19660000
CN5Y581H0001,1,38.02,95.67,4.76,5060, 
CN5Y581H0003,3,38,95.62,1.77,5100, 
CN5Y581H0005,5,38.03,95.55,1.92,5060, 
CN5Y582D0001,1,37.98,95.63,0.29,5200, 
CN5Y613E0008, ,38.252,89.206,8.01,5200, 
CN5Y624E0034, Muzitage,36.381,87.203,71.7,5640,19720000
CN5Y624E0036, ,36.453,87.127,10.93,5560, 
CN5Y636K0025, ,35.589,81.884,11.26,5920, 
CN5Y641E0011, ,35.775,81.12,8.36,5860, 
CN5Y642F0020, ,36.365,78.803,0.4,5480, 
CN5Y672D0019,19,41.25,77.8,1.15,4500, 
CN5Y674B0027,27,41.87,80.27,0.66,5120, 
CN5Y674B0034,34,41.97,80.25,1.19,4880, 
CN5Y681B0017,17,42.08,80.52,2,4580, 
CN5Y685D0011,11,42.4,83.58,0.61,4080, 
CN5Y698B0011,11,42.77,86.88,0.77,4210, 
CN5Y698B0012,12,42.42,86.88,0.26,4250, 
CN5Y746B0012,12,44.7,80.75,5.05,4100, 
CN5Y811C0009,9,42.73,87,0.14,4080, 
CN5Y811C0035,35,42.98,86.95,0.51,4150, 
CN5Y811D0001,1,42.97,87.05,0.4,4180, 
CN5Y813C0014,14,43.83,88.52,8.43,3960, 
CN5Y821A0002,2,43.45,92.97,1.32,3830, 
CN5Y821A0003,3,43.45,92.98,2.66,3960, 
CN5Y821B0004,4,43.45,93.12,0.2,4120, 
CN5Y822C0001,1,43.03,94.3,0.45,4200, 
CN5Y822C0003,3,43.03,94.33,3.45,4400, 
CN5Z131F0002, Nari,35.792,88.79,9.98,5480, 
CN5Z211F0001, ,34.918,89.632,16.41,5610, 
CN5Z211F0008, ,34.931,89.603,7.91,5640, 
